sid,start,stop,rating
2,1601060400000,1601066700000,0
3,1600750800000,1600776000000,0
4,1600275600000,1600290000000,0
5,1600837200000,1600880400000,0
6,1600326000000,1600365600000,0
7,1600398000000,1600441200000,0
8,1600578000000,1600610400000,0
9,1600943400000,1600959600000,0
10,1600988400000,1600993800000,0
11,1600491600000,1600538400000,0
12,1600667100000,1600707600000,0
13,1601096400000,1601150400000,0
14,1601092800000,1601096400000,0
15,1601197200000,1601236800000,0
16,1601280000000,1601308800000,0
17,1601267400000,1601272800000,0
18,1601355600000,1601389800000,0
19,1601449200000,1601472600000,0
20,1601528400000,1601553600000,0
21,1601701200000,1601740800000,0
22,1601800200000,1601827200000,0
23,1601973000000,1601985600000,0
24,1601938800000,1601971200000,0
25,1602044100000,1602088200000,0
26,1602133200000,1602163800000,0
27,1602220500000,1602253800000,0
28,1602297900000,1602342000000,0
29,1602392400000,1602426600000,0
30,1602478800000,1602509400000,0
31,1602565200000,1602595800000,0
32,1602651600000,1602684000000,0
33,1602738000000,1602774000000,0
34,1602828000000,1602857700000,0
35,1602914400000,1602950400000,0
36,1603000800000,1603040400000,0
37,1603090800000,1603121400000,0
38,1603172700000,1603198800000,0
39,1603263600000,1603287900000,0
40,1603342800000,1603369800000,0
41,1603531800000,1603555200000,0
42,1603609200000,1603645200000,0
43,1603702800000,1603731600000,0
44,1603781100000,1603803600000,0
45,1603864800000,1603909800000,0
46,1604034000000,1604070000000,0
47,1604296800000,1604336400000,0
48,1604383200000,1604413800000,0
49,1604469600000,1604503800000,0
50,1604642400000,1604674800000,0
51,1604815200000,1604854800000,0
52,1604919600000,1604944800000,0
53,1605074400000,1605103200000,0
54,1605060000000,1605074400000,0
55,1605160800000,1605189600000,0
56,1605326400000,1605344400000,0
57,1605695400000,1605727800000,0
58,1605805200000,1605819600000,0
59,1606284000000,1606329000000,0
60,1606359600000,1606377600000,0
61,1606888800000,1606914000000,0
62,1606978800000,1606996800000,0
63,1607058000000,1607091300000,0
64,1607166000000,1607181300000,0
65,1607110200000,1607146200000,0
66,1607497200000,1607529600000,0
67,1607590800000,1607626800000,0
68,1607695200000,1607713200000,0
69,1608890400000,1608919200000,0
70,1608854400000,1608879600000,0
71,1610085600000,1610105400000,0
72,1610355600000,1610377200000,0
73,1610442000000,1610470800000,0
74,1611014400000,1611023400000,0
75,1611277200000,1611302400000,0
76,1611342000000,1611350100000,0
77,1611475200000,1611504000000,0
78,1611446400000,1611457200000,0
79,1611597600000,1611615600000,0
80,1611532800000,1611554400000,0
